station_id,year_local,month_local,day_local,synop_hour_local,air_temperature,precipitation,wind_speed_aver,wind_direction,date_local
24538,1993,4,111,15,-9.6,0.0,2.0,20.0,1993-04-21
24538,1993,4,111,18,-12.0,0.0,1.0,360.0,1993-04-21
24538,1993,4,111,21,-11.7,0.0,3.0,360.0,1993-04-21
24538,1993,4,111,0,-7.5,0.0,3.0,360.0,1993-04-21
24538,1993,4,111,3,-4.6,0.0,5.0,30.0,1993-04-21
24538,1993,4,111,6,-3.6,0.0,5.0,70.0,1993-04-21
24538,1993,4,111,9,-3.0,0.0,5.0,70.0,1993-04-21
24538,1993,4,111,12,-4.9,0.0,3.0,50.0,1993-04-21
24538,1993,4,112,15,-8.2,0.0,2.0,50.0,1993-04-22
24538,1993,4,112,18,-11.1,0.0,1.0,40.0,1993-04-22
24538,1993,4,112,21,-15.1,0.0,0.0,0.0,1993-04-22
24538,1993,4,112,0,-6.2,0.0,4.0,80.0,1993-04-22
24538,1993,4,112,3,-4.0,0.0,5.0,40.0,1993-04-22
24538,1993,4,112,6,-2.0,0.0,5.0,20.0,1993-04-22
24538,1993,4,112,9,-1.5,0.0,4.0,50.0,1993-04-22
24538,1993,4,112,12,-2.7,0.0,3.0,360.0,1993-04-22
24538,1993,4,113,15,-10.7,0.0,0.0,0.0,1993-04-23
24538,1993,4,113,18,-13.4,0.0,2.0,340.0,1993-04-23
24538,1993,4,113,21,-14.6,0.0,3.0,350.0,1993-04-23
24538,1993,4,113,0,-7.6,0.0,3.0,330.0,1993-04-23
